tree_ID,meas_seq,Site,Col,Row,Rep,Blk,Seedlot,Tree,HT3,Dam3,HT6,Dam6,Comment6,HT10,Dam10,Comment10
14810,2490,Harr,37,70,5,6,348,2,66,,132,,,258,,
15669,3349,Harr,48,12,4,15,348,4,68,,201,,,351,,
14773,2453,Harr,37,33,7,13,348,1,70,,135,,,188,,
15065,2745,Harr,41,21,2,3,348,1,70,,144,,,224,,
15671,3351,Harr,48,10,4,15,348,2,70,,182,,,321,,
15474,3154,Harr,46,47,1,16,348,3,71,,153,,,270,,
15469,3149,Harr,46,52,6,9,348,4,72,,146,,,221,,
15471,3151,Harr,46,50,6,9,348,2,72,,155,,,228,,
13096,776,Harr,15,16,8,5,348,4,76,,167,,,317,,
14809,2489,Harr,37,69,5,6,348,1,79,,181,,,308,,
15458,3138,Harr,46,63,3,6,348,3,79,,170,,,312,,
15472,3152,Harr,46,49,6,9,348,1,82,,162,,,230,,
15475,3155,Harr,46,46,1,16,348,2,86,,141,,,251,,
14776,2456,Harr,37,36,7,13,348,4,86,,211,,,280,,
15067,2747,Harr,41,23,2,3,348,3,88,,155,,,275,,
15672,3352,Harr,48,9,4,15,348,1,100,,220,,,355,,
15476,3156,Harr,46,45,1,16,348,1,101,,223,,,321,b,
15066,2746,Harr,41,22,2,3,348,2,125,,228,,,358,,
14774,2454,Harr,37,34,7,13,348,2,60,k,140,k,,201,k,
15473,3153,Harr,46,48,1,16,348,4,61,k,163,,,248,,
20144,3632,High,114,17,7,16,348,2,16,,23,k d,,48,1,
18372,1860,High,59,4,5,13,348,3,24,,26,k d,,52,1 kd,
20177,3665,High,115,17,7,16,348,3,,,,,,,3,
20208,3696,High,116,17,7,16,348,4,,,,,,,3,
19932,3420,High,107,28,8,7,348,3,,,,,,,3,
16910,398,High,13,14,6,11,348,1,3,d,17,k d,,48,1 k,
19941,3429,High,108,28,8,7,348,4,18,d,10,k d,,20,1 d,
19432,2920,High,92,25,4,10,348,4,18,d,27,k d,,,3,
17670,1158,High,37,6,2,8,348,1,23,d,17,k d,,34,1 dk,
18929,2417,High,76,16,1,1,348,4,23,d,31,k d,,58,1,
19417,2905,High,91,25,4,10,348,3,26,d,19,k d,,44,1 dk,
18865,2353,High,74,16,1,1,348,2,21,d c,,,,,3,
20113,3601,High,113,17,7,16,348,1,26,d c,,,,,3,
19868,3356,High,105,28,8,7,348,1,16,d f,20,d k,,38,1 dk,
18896,2384,High,75,16,1,1,348,3,22,d f,33,k d,,,3,
17455,943,High,30,18,3,15,348,2,22,d f,31,k d,,,3,
17787,1275,High,40,6,2,8,348,4,23,d f,,,,,3,
16974,462,High,15,14,6,11,348,3,25,d f,,,,,3,
18365,1853,High,58,4,5,13,348,2,27,d f,13,k d,,18,1 kd,
18832,2320,High,73,16,1,1,348,1,27,d f,28,k d,,34,1 k,
19368,2856,High,90,25,4,10,348,2,27,d f,39,k d,,36,1 kd,
19353,2841,High,89,25,4,10,348,1,27,d f,21,k d,,,3,
16947,435,High,14,14,6,11,348,2,31,d f,10,k d,,,3,
18429,1917,High,60,4,5,13,348,4,26,f,18,k d,,24,1 kd,
19877,3365,High,106,28,8,7,348,2,26,f,,,,,3,
17490,978,High,31,18,3,15,348,3,27,f,41,k,,,3,
17734,1222,High,39,6,2,8,348,3,31,f,27,k d,,42,1 kd,
17723,1211,High,38,6,2,8,348,2,31,f,13,k d,,,3,
18308,1796,High,57,4,5,13,348,1,33,f,,,,,3,
17426,914,High,29,18,3,15,348,1,34,f,12,k d,,,3,
17519,1007,High,32,18,3,15,348,4,34,f,,,,,3,
17011,499,High,16,14,6,11,348,4,37,f,,,,,3,
23897,3289,Jord,13,10,4,7,348,3,38,,84,,,129,,
21527,919,Jord,6,39,1,16,348,1,42,,82,,,135,,
22772,2164,Jord,64,24,2,1,348,1,42,,84,,,136,,
23896,3288,Jord,12,10,4,7,348,2,46,,72,,,146,,
20806,198,Jord,55,47,7,10,348,1,47,,95,c,,111,c,
23511,2903,Jord,38,15,5,6,348,3,50,,124,,,171,,
23898,3290,Jord,14,10,4,7,348,4,52,,109,,,163,,
20804,196,Jord,57,47,7,10,348,2,54,,116,,,218,,
20803,195,Jord,58,47,7,10,348,1,55,,155,,,272,,
24510,3902,Jord,47,3,3,7,348,4,55,,,,,,,
21528,920,Jord,5,39,1,16,348,2,56,,90,,,186,,
22066,1458,Jord,30,32,6,1,348,3,59,,122,,,200,,
21529,921,Jord,4,39,1,16,348,3,60,,121,,,211,,
24507,3899,Jord,50,3,3,7,348,1,62,,127,,,244,,
24509,3901,Jord,48,3,3,7,348,3,64,,168,,,240,,
22775,2167,Jord,67,24,2,1,348,3,64,,143,,,265,,
22776,2168,Jord,68,24,2,1,348,4,65,,134,,,190,,
22774,2166,Jord,66,24,2,1,348,2,65,,136,,,220,,
21530,922,Jord,3,39,1,16,348,4,65,,143,,,268,,
23895,3287,Jord,11,10,4,7,348,1,67,,117,,,214,,
22065,1457,Jord,29,32,6,1,348,2,67,,167,,,282,,
22604,1996,Jord,64,26,8,16,348,3,69,,167,,,250,,
23509,2901,Jord,40,15,5,6,348,1,70,,161,,,238,,
23510,2902,Jord,39,15,5,6,348,2,71,,151,,,208,,
20807,199,Jord,54,47,7,10,348,2,71,,164,,,237,,
22067,1459,Jord,31,32,6,1,348,4,74,,148,,,215,,
22605,1997,Jord,65,26,8,16,348,4,76,,163,,,218,,
22476,1868,Jord,65,27,8,16,348,1,82,,140,,,226,,
24508,3900,Jord,49,3,3,7,348,2,82,,197,,,277,,
22477,1869,Jord,64,27,8,16,348,2,91,,177,,,264,,
22064,1456,Jord,28,32,6,1,348,1,94,,168,,,230,,
23512,2904,Jord,37,15,5,6,348,4,,,,,,,,
28166,3442,Kala,11,42,2,3,348,2,33,,67,,,132,,
25109,385,Kala,52,8,4,14,348,4,33,,,,,,,
28325,3601,Kala,9,65,8,6,348,1,36,,81,,,163,,
24925,201,Kala,54,56,5,14,348,4,36,,,,,,,
28167,3443,Kala,11,43,2,3,348,3,38,,54,,,111,,
